gene_callers_id	detection
38781	DETECTED
38782	DETECTED
38783	DETECTED
38784	DETECTED
38785	DETECTED
38786	DETECTED
38787	DETECTED
38788	DETECTED
38789	DETECTED
38790	DETECTED
38791	DETECTED
38792	DETECTED
38793	DETECTED
38794	DETECTED
38795	DETECTED
38796	DETECTED
38797	DETECTED
38798	DETECTED
38799	DETECTED
38800	DETECTED
38801	DETECTED
38802	DETECTED
38803	DETECTED
38804	DETECTED
38805	DETECTED
38806	DETECTED
38807	DETECTED
38808	DETECTED
38809	DETECTED
38810	DETECTED
38811	DETECTED
38812	DETECTED
38813	DETECTED
38814	DETECTED
38815	DETECTED
38816	NOT DETECTED
38817	DETECTED
38818	DETECTED
38819	DETECTED
38820	DETECTED
38821	DETECTED
38822	DETECTED
38823	DETECTED
38824	DETECTED
38825	NOT DETECTED
38826	DETECTED
38827	DETECTED
38828	DETECTED
38829	DETECTED
38830	DETECTED
38831	DETECTED
38832	DETECTED
38833	DETECTED
38834	DETECTED
38835	DETECTED
38836	DETECTED
38837	DETECTED
