MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DB_MAG_00083	R04	colonization	DB_D_13	14.224221265399999
DB_MAG_00083	R05	ambiguous	DB_D_07	8.21108741827
DB_MAG_00084	R01	ambiguous	DB_D_08	0.0122595204513
DB_MAG_00084	R02	no_colonization	DB_D_11	73.58066619649999
DB_MAG_00084	R03	ambiguous	DB_D_14	162.197567936
DB_MAG_00084	R04	ambiguous	DB_D_13	159.307847673
DB_MAG_00084	R05	ambiguous	DB_D_07	0.00784485190409
DB_MAG_00085	R01	no_colonization	DB_D_08	16.474196713399998
DB_MAG_00085	R02	no_colonization	DB_D_11	26.7062302614
DB_MAG_00085	R03	colonization	DB_D_14	112.141329981
DB_MAG_00085	R04	no_colonization	DB_D_13	3.3096098870899997
DB_MAG_00085	R05	colonization	DB_D_07	33.3412172878
DB_MAG_00088	R01	ambiguous	DB_D_08	126.12695329
DB_MAG_00088	R02	no_colonization	DB_D_11	83.5620534256
DB_MAG_00088	R03	ambiguous	DB_D_14	0.037817136817900006
DB_MAG_00088	R04	ambiguous	DB_D_13	110.371929272
DB_MAG_00088	R05	colonization	DB_D_07	88.3687568652
DB_MAG_00089	R01	ambiguous	DB_D_08	4.83309140221
DB_MAG_00089	R02	colonization	DB_D_11	1.82017727304
DB_MAG_00089	R03	ambiguous	DB_D_14	2.71238212189
DB_MAG_00089	R04	ambiguous	DB_D_13	7.6927325143899985
DB_MAG_00089	R05	colonization	DB_D_07	6.66953860381
DB_MAG_00091	R01	no_colonization	DB_D_08	6.29457090271
DB_MAG_00091	R02	no_colonization	DB_D_11	7.404859503069999
DB_MAG_00091	R03	ambiguous	DB_D_14	0.007254997937050001
DB_MAG_00091	R04	no_colonization	DB_D_13	15.9027907165
DB_MAG_00091	R05	colonization	DB_D_07	10.013390990700001
DB_MAG_00096	R01	colonization	DB_D_08	9.12778080135
DB_MAG_00096	R02	colonization	DB_D_11	1.35972734257
DB_MAG_00096	R03	ambiguous	DB_D_14	1.7736053597599999
DB_MAG_00096	R04	ambiguous	DB_D_13	3.7269100139
DB_MAG_00096	R05	colonization	DB_D_07	13.26986334
DB_MAG_00097	R01	no_colonization	DB_D_08	3.1357503921700003
DB_MAG_00097	R02	ambiguous	DB_D_11	0.09956223674519998
DB_MAG_00097	R03	ambiguous	DB_D_14	20.382158633299998
DB_MAG_00097	R04	no_colonization	DB_D_13	17.7749353685
DB_MAG_00097	R05	no_colonization	DB_D_07	4.32264567994
DB_MAG_00098	R01	ambiguous	DB_D_08	0.0459732995972
DB_MAG_00098	R02	no_colonization	DB_D_11	12.1022255884
DB_MAG_00098	R03	ambiguous	DB_D_14	0.0216033558611
DB_MAG_00098	R04	no_colonization	DB_D_13	36.5856676765
DB_MAG_00098	R05	ambiguous	DB_D_07	0.0487323967107
DB_MAG_00099	R01	no_colonization	DB_D_08	21.7079987926
DB_MAG_00099	R02	no_colonization	DB_D_11	31.713792217600002
DB_MAG_00099	R03	ambiguous	DB_D_14	0.0271336000668
DB_MAG_00099	R04	no_colonization	DB_D_13	1.25231165428
DB_MAG_00099	R05	ambiguous	DB_D_07	3.94930351741
DB_MAG_00100	R01	no_colonization	DB_D_08	47.6858556768
DB_MAG_00100	R02	no_colonization	DB_D_11	31.9699652944
DB_MAG_00100	R03	ambiguous	DB_D_14	0.0280492730741
DB_MAG_00100	R04	colonization	DB_D_13	7.40555044935
DB_MAG_00100	R05	no_colonization	DB_D_07	80.354993766
DB_MAG_00102	R01	ambiguous	DB_D_08	0.0421447719797
DB_MAG_00102	R02	ambiguous	DB_D_11	0.08215816723960001
DB_MAG_00102	R03	ambiguous	DB_D_14	38.597484906700004
DB_MAG_00102	R04	ambiguous	DB_D_13	0.14049095605
DB_MAG_00102	R05	ambiguous	DB_D_07	0.0394807660232
DB_MAG_00104	R01	no_colonization	DB_D_08	51.8790255045
DB_MAG_00104	R02	no_colonization	DB_D_11	14.7261827414
DB_MAG_00104	R03	ambiguous	DB_D_14	20.4917171586
DB_MAG_00104	R04	colonization	DB_D_13	22.0059241996
DB_MAG_00104	R05	colonization	DB_D_07	9.48537721414
DB_MAG_00105	R01	ambiguous	DB_D_08	1.5990385623299999
DB_MAG_00105	R02	ambiguous	DB_D_11	0.270420711288
DB_MAG_00105	R03	ambiguous	DB_D_14	40.3211022437
DB_MAG_00105	R04	ambiguous	DB_D_13	21.4304251919
DB_MAG_00105	R05	colonization	DB_D_07	1.19146028705
DB_MAG_00106	R01	no_colonization	DB_D_08	12.0162539606
DB_MAG_00106	R02	no_colonization	DB_D_11	16.1421186135
DB_MAG_00106	R03	ambiguous	DB_D_14	0.431625404241
DB_MAG_00106	R04	no_colonization	DB_D_13	59.309959704799994
DB_MAG_00106	R05	no_colonization	DB_D_07	20.8384908978
DB_MAG_00109	R01	no_colonization	DB_D_08	14.5340575171
DB_MAG_00109	R02	no_colonization	DB_D_11	11.5124619362
DB_MAG_00109	R03	ambiguous	DB_D_14	0.00790510871086
DB_MAG_00109	R04	colonization	DB_D_13	18.3030577637
DB_MAG_00109	R05	colonization	DB_D_07	14.35043511
DB_MAG_00110	R01	ambiguous	DB_D_08	84.5831076518
DB_MAG_00110	R02	ambiguous	DB_D_11	75.50745107670001
DB_MAG_00110	R03	ambiguous	DB_D_14	79.9861184415
DB_MAG_00110	R04	ambiguous	DB_D_13	26.8013572022
DB_MAG_00110	R05	colonization	DB_D_07	35.655592968
DB_MAG_00112	R01	colonization	DB_D_08	6.11802472601
DB_MAG_00112	R02	no_colonization	DB_D_11	13.4927578745
DB_MAG_00112	R03	ambiguous	DB_D_14	0.8877396867730001
DB_MAG_00112	R04	colonization	DB_D_13	10.339580102200001
DB_MAG_00112	R05	colonization	DB_D_07	5.81357942384
DB_MAG_00116	R01	ambiguous	DB_D_08	9.35690842859
DB_MAG_00116	R02	colonization	DB_D_11	4.59394217703
DB_MAG_00116	R03	ambiguous	DB_D_14	15.9852033354
